Name,product_link,image,off,color,Details,Care_For_Me,Delivery
Butterfly Floral Short Sleeve Shirt,https://www.peteralexander.com.au/shop/en/peteralexander/whats-new/all-new/butterfly-floral-short-sleeve-shirt-818181-multi-1,,or 4 payments of$with,Multi,"Fly away in your dreams with this stunning garden print shirt, featuring delicate butterflies and flowers. Make it a set with the matching pants or shorts tonight.&amp;nbsp;&amp;nbsp;Collar &amp;amp; button down frontShort sleevesBlue trim detailsCurved hem/Model is usually a size 8 and wears a small./","ul&gt;Wash before wearCold gentle machine wash with like colours using mild detergentTurn inside outDo not soak, bleach, rub or wringRemove promptlyDo not tumble dryLine dry in shadeCool iron on reverse if needed excluding print or embellishmentDo not dry clean/","Delivery 
Australian Standard Delivery$9.99
Australian Express Delivery$14.99
View full delivery information

Returns
Exchanges and refunds for Christmas purchases are extended up until the 15th of January 2023.
30 day returns or exchanges online and in store
Afterpay, Zip, Humm and Openpay returns must be sent to our online store via post, exchanges accepted in store or online.
View full returns information"
Butterfly Classic Pj Pant,https://www.peteralexander.com.au/shop/en/peteralexander/whats-new/all-new/butterfly-classic-pj-pant-818182-multi-1,,or 4 payments of$with,Multi,"Take a walk through the garden in these stunning soft cotton pants, featuring an all over butterfly floral print that'll have you drifting away at night.&amp;nbsp;Elastic waistbandDrawstringClassic straight leg pant shape/Model is usually a size 8 and wears a small./","ul&gt;Wash before wearCold gentle machine wash with like colours using mild detergentTurn inside outDo not soak, bleach, rub or wringRemove promptlyDo not tumble dryLine dry in shadeCool iron on reverse if needed excluding print or embellishmentDo not dry clean/","Delivery 
Australian Standard Delivery$9.99
Australian Express Delivery$14.99
View full delivery information

Returns
Exchanges and refunds for Christmas purchases are extended up until the 15th of January 2023.
30 day returns or exchanges online and in store
Afterpay, Zip, Humm and Openpay returns must be sent to our online store via post, exchanges accepted in store or online.
View full returns information"
Butterfly Long Short,https://www.peteralexander.com.au/shop/en/peteralexander/whats-new/all-new/butterfly-long-short-818183-multi-1,,or 4 payments of$with,Multi,Butterfly fly away... this stunning print is sure make these long shorts your new summer staple. Featuring a contrast print hem and designed to mix and match with our P.A. tops and shirts.&amp;nbsp;Elastic waistbandDrawstring&amp;nbsp;Longer leg lengthContrast print hem/Model is usually a size 8 and wears a small./,"ul&gt;Wash before wearCold gentle machine wash with like colours using mild detergentTurn inside outDo not soak, bleach, rub or wringRemove promptlyDo not tumble dryLine dry in shadeCool iron on reverse if needed excluding print or embellishmentDo not dry clean/","Delivery 
Australian Standard Delivery$9.99
Australian Express Delivery$14.99
View full delivery information

Returns
Exchanges and refunds for Christmas purchases are extended up until the 15th of January 2023.
30 day returns or exchanges online and in store
Afterpay, Zip, Humm and Openpay returns must be sent to our online store via post, exchanges accepted in store or online.
View full returns information"
The Very Hungry Caterpillar Tee,https://www.peteralexander.com.au/shop/en/peteralexander/whats-new/all-new/hungry-caterpillar-tee-818760-multi-1,,or 4 payments of$with,Multi,Crawl into bed with this adorable The Very Hungry Caterpillar tee. Featuring our brand name and a fun stripe print on an oversized style to keep you looking cute and comfy all season long.Round neckShort sleevesOversized fit/Model is usually a size 8 and wears a small./,"ul&gt;Wash before wear&amp;nbsp;Cold gentle machine wash separately using mild detergent&amp;nbsp;Turn inside out&amp;nbsp;Do not soak, bleach, rub or wring&amp;nbsp;Remove promptly&amp;nbsp;Do not tumble dry&amp;nbsp;Dry flat in shade easing back into shape&amp;nbsp;Cool iron on reverse if needed excluding print or embellishment&amp;nbsp;Do not dry clean/","Delivery 
Australian Standard Delivery$9.99
Australian Express Delivery$14.99
View full delivery information

Returns
Exchanges and refunds for Christmas purchases are extended up until the 15th of January 2023.
30 day returns or exchanges online and in store
Afterpay, Zip, Humm and Openpay returns must be sent to our online store via post, exchanges accepted in store or online.
View full returns information"
Strawberry Shortcake Tee,https://www.peteralexander.com.au/shop/en/peteralexander/whats-new/all-new/strawberry-shortcake-tee-818781-multi-1,,or 4 payments of$with,Multi,We hope your day is simply delicious in this Strawberry Shortcake women's tee! Made from our stunning pointelle fabrication to keep you looking cute and feeling comfy all night long. Be sure to have a smell of our Scratch N Sniff swing tag for a berry sweet scent.Round neckShort sleeves with broderie lace trimRegular fit&amp;nbsp;Scratch &amp;amp; Sniff feature on swing tag/Model is usually a size 8 and wears a small./,"ul&gt;Wash before wearCold gentle machine wash with like colours using mild detergentTurn inside outDo not soak, bleach, rub or wringRemove promptlyDo not tumble dryLine dry in shadeCool iron on reverse if needed excluding print or embellishmentDo not dry clean/","Delivery 
Australian Standard Delivery$9.99
Australian Express Delivery$14.99
View full delivery information

Returns
Exchanges and refunds for Christmas purchases are extended up until the 15th of January 2023.
30 day returns or exchanges online and in store
Afterpay, Zip, Humm and Openpay returns must be sent to our online store via post, exchanges accepted in store or online.
View full returns information"
Textured Pj Short,https://www.peteralexander.com.au/shop/en/peteralexander/whats-new/all-new/textured-pj-short-817199-multi-1,,or 4 payments of$with,Multi,"Got a green thumb? Match it with this textured mid short from our Veggie Patch collection, featuring white piping and our signature penny logo embroidery.&amp;nbsp;Elastic waistbandDrawstringMid short lengthWhite piping detailPenny logo embroidery/Model is usually a size 8 and wears a small./","ul&gt;Wash before wearCold gentle machine wash with like colours using mild detergentTurn inside outDo not soak, bleach, rub or wringRemove promptly&amp;nbsp;Do not tumble dryLine dry in shade easing back into shapeWarm iron on reverse if needed excluding print or embellishmentDo not dry clean/","Delivery 
Australian Standard Delivery$9.99
Australian Express Delivery$14.99
View full delivery information

Returns
Exchanges and refunds for Christmas purchases are extended up until the 15th of January 2023.
30 day returns or exchanges online and in store
Afterpay, Zip, Humm and Openpay returns must be sent to our online store via post, exchanges accepted in store or online.
View full returns information"
Strawberry Ruffle Eye Mask,https://www.peteralexander.com.au/shop/en/peteralexander/whats-new/all-new/strawberry-ruffle-eye-mask-868701-multi-1,,or 4 payments of$with,Multi,There's nothing sweeter than this strawberry ruffle eye mask! Be sure to pair with our Strawberry Shortcake range of PJs.Pattern print on outerSoftly paddedRuffle detailSuper soft inner lining&amp;nbsp;/Model is usually a size 8 and wears a small./,,"Delivery 
Australian Standard Delivery$9.99
Australian Express Delivery$14.99
View full delivery information

Returns
Exchanges and refunds for Christmas purchases are extended up until the 15th of January 2023.
30 day returns or exchanges online and in store
Afterpay, Zip, Humm and Openpay returns must be sent to our online store via post, exchanges accepted in store or online.
View full returns information"
Strawberry Couture,https://www.peteralexander.com.au/shop/en/peteralexander/whats-new/all-new/strawberry-couture-871207-pink-1,,or 4 payments of$with,Pink,Slip into comfort with our berry cute pink couture slippers. Featuring a spotty inner print and cute bow detail!Micro suede outer and innerPrint innerCushioned foot bedStrawberry bow detailing/Model is usually a size 8 and wears a small./,,"Delivery 
Australian Standard Delivery$9.99
Australian Express Delivery$14.99
View full delivery information

Returns
Exchanges and refunds for Christmas purchases are extended up until the 15th of January 2023.
30 day returns or exchanges online and in store
Afterpay, Zip, Humm and Openpay returns must be sent to our online store via post, exchanges accepted in store or online.
View full returns information"
Cross Over Fur Slide,https://www.peteralexander.com.au/shop/en/peteralexander/whats-new/all-new/cross-over-fur-slide-871208-multi-1,,or 4 payments of$with,Multi,Slip into comfort with these adorable cross over fur slides that'll cure any of your blues! Be sure to pair with your favourite pyjama sets for the perfect night time outfit.&amp;nbsp;Fleece slide upperOpen toeRubber moulded footbed/Model is usually a size 8 and wears a small./,,"Delivery 
Australian Standard Delivery$9.99
Australian Express Delivery$14.99
View full delivery information

Returns
Exchanges and refunds for Christmas purchases are extended up until the 15th of January 2023.
30 day returns or exchanges online and in store
Afterpay, Zip, Humm and Openpay returns must be sent to our online store via post, exchanges accepted in store or online.
View full returns information"
P.A. Plus Strawberry Shortcake Sleep Tee,https://www.peteralexander.com.au/shop/en/peteralexander/whats-new/all-new/pa-plus-strawberry-shortcake-sleep-tee-814212-multi-1,,or 4 payments of$with,Multi,Oh muffin crumbs! This Strawberry Shortcake side split sleep tee is sure to become your new PJ favourite. Be sure to have a smell of our Scratch N Sniff swing tag for a berry sweet scent.Round necklineShort sleevesOversized fitSide splitScratch &amp;amp; Sniff feature on swing tag/Model is usually a size 16 and wears a +1./,"ul&gt;Wash before wearCold gentle machine wash with like colours using mild detergentTurn inside outDo not soak, bleach, rub or wringRemove promptly&amp;nbsp;Do not tumble dryDry flat in shade easing back into shapeCool iron on reverse if needed excluding print or embellishmentDo not dry clean/","Delivery 
Australian Standard Delivery$9.99
Australian Express Delivery$14.99
View full delivery information

Returns
Exchanges and refunds for Christmas purchases are extended up until the 15th of January 2023.
30 day returns or exchanges online and in store
Afterpay, Zip, Humm and Openpay returns must be sent to our online store via post, exchanges accepted in store or online.
View full returns information"
