Name,Dease_URL,Dease_image
Corn images,https://dermnetnz.org/topics/corn-clavus-images/?stage=Live,https://dermnetnz.org/assets/Uploads/clavus11-s2__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Capillaritis images,https://dermnetnz.org/topics/capillaritis-images/?stage=Live,https://dermnetnz.org/assets/Uploads/2509__FocusFillWzE1MCwxMTAsIngiLDdd.jpg
Conditions affecting the ear images,https://dermnetnz.org/topics/conditions-affecting-the-ear-images/?stage=Live,https://dermnetnz.org/assets/Uploads/keloid__FocusFillWzE1MCwxMTAsInkiLDBd.jpg
Capillaritis images,https://dermnetnz.org/topics/capillaritis-images/?stage=Live,https://dermnetnz.org/assets/Uploads/2509__FocusFillWzE1MCwxMTAsIngiLDdd.jpg
Contact allergic dermatitis of the arm and leg images,https://dermnetnz.org/topics/contact-allergic-dermatitis-of-the-arm-and-leg-images/?stage=Live,https://dermnetnz.org/assets/Uploads/2452__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg
Capillaritis images,https://dermnetnz.org/topics/capillaritis-images/?stage=Live,https://dermnetnz.org/assets/Uploads/2509__FocusFillWzE1MCwxMTAsIngiLDdd.jpg
Contact allergic dermatitis of the face images,https://dermnetnz.org/topics/contact-allergic-dermatitis-of-the-face-images/?stage=Live,https://dermnetnz.org/assets/Uploads/2443__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg
Capillaritis images,https://dermnetnz.org/topics/capillaritis-images/?stage=Live,https://dermnetnz.org/assets/Uploads/2509__FocusFillWzE1MCwxMTAsIngiLDdd.jpg
Contact allergic dermatitis of the hand images,https://dermnetnz.org/topics/contact-allergic-dermatitis-of-the-hand-images/?stage=Live,https://dermnetnz.org/assets/Uploads/eczalllehma__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg
Capillaritis images,https://dermnetnz.org/topics/capillaritis-images/?stage=Live,https://dermnetnz.org/assets/Uploads/2509__FocusFillWzE1MCwxMTAsIngiLDdd.jpg
Contact allergic dermatitis of the torso images,https://dermnetnz.org/topics/contact-allergic-dermatitis-of-the-torso-images/?stage=Live,https://dermnetnz.org/assets/Uploads/2484__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg
Contact irritant dermatitis images,https://dermnetnz.org/topics/contact-irritant-dermatitis-images/?stage=Live,https://dermnetnz.org/assets/Uploads/2512__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Eccrine poroma images,https://dermnetnz.org/topics/eccrine-poroma-images/?stage=Live,https://dermnetnz.org/assets/Uploads/lesions/w/eccrine-poroma2__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Cutaneous horn images,https://dermnetnz.org/topics/cutaneous-horn-images/?stage=Live,https://dermnetnz.org/assets/Uploads/horn-03-s-1__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Nodular basal cell carcinoma images,https://dermnetnz.org/topics/nodular-bcc-images/?stage=Live,https://dermnetnz.org/assets/Uploads/nBCC__FocusFillWzE1MCwxMTAsIngiLDdd.jpg
Cutaneous lupus erythematosus images,https://dermnetnz.org/topics/cutaneous-lupus-erythematosus-images/?stage=Live,https://dermnetnz.org/assets/Uploads/lupus-facial-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Nodular basal cell carcinoma images,https://dermnetnz.org/topics/nodular-bcc-images/?stage=Live,https://dermnetnz.org/assets/Uploads/nBCC3__FocusFillWzE1MCwxMTAsIngiLDdd.jpg
Cutaneous tuberculosis images,https://dermnetnz.org/topics/cutaneous-tuberculosis-images/?stage=Live,https://dermnetnz.org/assets/Uploads/papulonecrotic-tb1-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Palmoplantar pustulosis images,https://dermnetnz.org/topics/palmoplantar-pustulosis-images/?stage=Live,https://dermnetnz.org/assets/Uploads/palmar-pustulosis-01__FocusFillWzE1MCwxMTAsIngiLDld.JPG
,https://dermnetnz.org/?stage=Live,https://dermnetnz.org/assets/Uploads/2617-1__FocusFillWzE1MCwxMTAsInkiLDE2XQ.jpg
Keratolytic winter erythema images,https://dermnetnz.org/topics/keratolytic-winter-erythema-images/?stage=Live,https://dermnetnz.org/assets/Uploads/keratolytic-winter-erythema-08__FocusFillWzE1MCwxMTAsIngiLDdd.jpg
Deep dermal disorder images,https://dermnetnz.org/image-catalogue/deep-dermal-disorder-images/?stage=Live,https://dermnetnz.org/assets/Uploads/lymphoma1-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Generalised pustular psoriasis images,https://dermnetnz.org/topics/generalised-pustular-psoriasis-images/?stage=Live,https://dermnetnz.org/assets/Uploads/gen-pustular-psoriasis-03__FocusFillWzE1MCwxMTAsInkiLDFd.JPG
Atopic dermatitis images,https://dermnetnz.org/images/atopic-dermatitis-images/?stage=Live,https://dermnetnz.org/assets/Uploads/atopic26-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Mammary and extramammary Paget disease of the skin images,https://dermnetnz.org/topics/mammary-and-extramammary-paget-disease-of-the-skin-images/?stage=Live,https://dermnetnz.org/assets/Uploads/extra-paget-04__FocusFillWzE1MCwxMTAsInkiLDFd.JPG
Dermatofibroma images,https://dermnetnz.org/topics/dermatofibroma-images/?stage=Live,https://dermnetnz.org/assets/Uploads/2400__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Pemphigus vulgaris images,https://dermnetnz.org/images/pemphigus-vulgaris-images/?stage=Live,https://dermnetnz.org/assets/Uploads/pemphigus-vulgaris-20__FocusFillWzE1MCwxMTAsInkiLDFd.JPG
Dermographism images,https://dermnetnz.org/topics/dermographism-images/?stage=Live,https://dermnetnz.org/assets/Uploads/dermographism04-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
SJS-TEN images,https://dermnetnz.org/topics/sjs-ten-images/?stage=Live,https://dermnetnz.org/assets/Uploads/sjs-ten-trunk-148__FocusFillWzE1MCwxMTAsInkiLDFd.JPG
Dermoscopy course images,https://dermnetnz.org/image-catalogue/dermoscopy-course-images/?stage=Live,https://dermnetnz.org/assets/Uploads/solar-lentigo9-s__FocusFillWzE1MCwxMTAsIngiLDVd.jpg
Transient acantholytic dermatosis images,https://dermnetnz.org/topics/transient-acantholytic-dermatosis-images/?stage=Live,https://dermnetnz.org/assets/Uploads/scaly/grover4__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Digital myxoid cyst images,https://dermnetnz.org/topics/digital-myxoid-cyst-images/?stage=Live,https://dermnetnz.org/assets/Uploads/myxoid3-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Transient acantholytic dermatosis images,https://dermnetnz.org/topics/transient-acantholytic-dermatosis-images/?stage=Live,https://dermnetnz.org/assets/Uploads/scaly/grovers-disease/2729__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Discoid eczema images,https://dermnetnz.org/images/discoid-eczema-images/?stage=Live,https://dermnetnz.org/assets/Uploads/nummular-eczema39-s__FocusFillWzE1MCwxMTAsInkiLDBd.jpg
Actinic keratosis dermoscopy images,https://dermnetnz.org/topics/actinic-keratosis-dermoscopy-images/?stage=Live,https://dermnetnz.org/assets/Uploads/lesions/ak-face/actinic-keratosis-dermoscopy9__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Discoid eczema images,https://dermnetnz.org/images/discoid-eczema-images/?stage=Live,https://dermnetnz.org/assets/Uploads/nummular-eczema39-s__FocusFillWzE1MCwxMTAsInkiLDBd.jpg
,https://dermnetnz.org/?stage=Live,https://dermnetnz.org/assets/Uploads/cutaneous-leishmaniasis-19-v3__FocusFillWzE1MCwxMTAsInkiLDFd.JPG
Ehlers-Danlos syndrome images,https://dermnetnz.org/topics/ehlers-danlos-syndrome-images/?stage=Live,https://dermnetnz.org/assets/Uploads/EDS-hypermobility-02__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Acquired dermal macular hyperpigmentation images,https://dermnetnz.org/topics/acquired-dermal-macular-hyperpigmentation-images/?stage=Live,https://dermnetnz.org/assets/Uploads/scaly/lp-pigmentosus1__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Dry skin images,https://dermnetnz.org/topics/dry-skin-images/?stage=Live,https://dermnetnz.org/assets/Uploads/2646__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Topics A–Z,https://dermnetnz.org/topics/?stage=Live,https://dermnetnz.org/assets/Uploads/lax-beetle-3__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
,https://dermnetnz.org/?stage=Live,https://dermnetnz.org/assets/Uploads/subungual-haematoma-5-v2__FocusFillWzE1MCwxMTAsInkiLDEyXQ.JPG
COVID-19 images,https://dermnetnz.org/topics/covid-19-images/?stage=Live,https://dermnetnz.org/assets/Uploads/covid-8__FocusFillWzE1MCwxMTAsInkiLDFd.JPG
Images of penile lichen sclerosus,https://dermnetnz.org/topics/penile-lichen-sclerosus-images/?stage=Live,https://dermnetnz.org/assets/Uploads/088-small__FocusFillWzE1MCwxMTAsInkiLDQ0XQ.jpg
Disease relating to site or age images,https://dermnetnz.org/image-catalogue/disease-relating-to-site-or-age-images/?stage=Live,https://dermnetnz.org/assets/Uploads/eosinophilic-ulcer-s3__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Behcet disease images,https://dermnetnz.org/images/behcet-disease-images/?stage=Live,https://dermnetnz.org/assets/collection/Behcet-disease/behcet-disease-00033__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Ecthyma images,https://dermnetnz.org/topics/ecthyma-images/?stage=Live,https://dermnetnz.org/assets/Uploads/ecthyma-3-s__FocusFillWzE1MCwxMTAsInkiLDBd.jpg
Eczema herpeticum images,https://dermnetnz.org/topics/eczema-herpeticum-images/?stage=Live,https://dermnetnz.org/assets/Uploads/eczema-herpticum02-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Hand foot and mouth disease images,https://dermnetnz.org/images/hand-foot-and-mouth-disease-images/?stage=Live,https://dermnetnz.org/assets/Uploads/hfm3-s2__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Hand foot and mouth disease images,https://dermnetnz.org/images/hand-foot-and-mouth-disease-images/?stage=Live,https://dermnetnz.org/assets/Uploads/hfm3-s3__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Epidermoid and trichilemmal cyst images,https://dermnetnz.org/topics/epidermoid-and-trichilemmal-cyst-images/?stage=Live,https://dermnetnz.org/assets/Uploads/cyst16-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Erythema migrans images,https://dermnetnz.org/topics/erythema-migrans-images/?stage=Live,https://dermnetnz.org/assets/Uploads/ecm-16__FocusFillWzE1MCwxMTAsInkiLDFd.JPG
Erythema infectiosum images,https://dermnetnz.org/topics/erythema-infectiosum-fifth-disease-images/?stage=Live,https://dermnetnz.org/assets/Uploads/fifth05-s__FocusFillWzE1MCwxMTAsInkiLDBd.jpg
Erythema multiforme images,https://dermnetnz.org/topics/erythema-multiforme-images/?stage=Live,https://dermnetnz.org/assets/Uploads/emultifor3-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Erythema nodosum images,https://dermnetnz.org/topics/erythema-nodosum-images/?stage=Live,https://dermnetnz.org/assets/Uploads/en10-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Erythrasma images,https://dermnetnz.org/topics/erythrasma-images/?stage=Live,https://dermnetnz.org/assets/Uploads/erythrasma05-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Erythroderma images,https://dermnetnz.org/topics/erythroderma-images/?stage=Live,https://dermnetnz.org/assets/Uploads/erythroderma-06-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Extragenital lichen sclerosus images,https://dermnetnz.org/topics/extragenital-lichen-sclerosus-images/?stage=Live,https://dermnetnz.org/assets/Uploads/102__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Madarosis images,https://dermnetnz.org/topics/madarosis-images/?stage=Live,https://dermnetnz.org/assets/Uploads/madarosis-21__FocusFillWzE1MCwxMTAsInkiLDFd.JPG
Madarosis images,https://dermnetnz.org/topics/madarosis-images/?stage=Live,https://dermnetnz.org/assets/Uploads/madarosis-21__FocusFillWzE1MCwxMTAsInkiLDFd.JPG
Madarosis images,https://dermnetnz.org/topics/madarosis-images/?stage=Live,https://dermnetnz.org/assets/Uploads/madarosis-21__FocusFillWzE1MCwxMTAsInkiLDFd.JPG
Madarosis images,https://dermnetnz.org/topics/madarosis-images/?stage=Live,https://dermnetnz.org/assets/Uploads/madarosis-21__FocusFillWzE1MCwxMTAsInkiLDFd.JPG
Madarosis images,https://dermnetnz.org/topics/madarosis-images/?stage=Live,https://dermnetnz.org/assets/Uploads/madarosis-21__FocusFillWzE1MCwxMTAsInkiLDFd.JPG
Eyelid dermatitis images,https://dermnetnz.org/topics/eyelid-dermatitis-images/?stage=Live,https://dermnetnz.org/assets/Uploads/eyelid-dermatitis-06-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Facial psoriasis images,https://dermnetnz.org/topics/facial-psoriasis-images/?stage=Live,https://dermnetnz.org/assets/Uploads/facial-psoriasis13-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Facial psoriasis images,https://dermnetnz.org/topics/facial-psoriasis-images/?stage=Live,https://dermnetnz.org/assets/Uploads/facial-psoriasis13-s2__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Fibrofolliculomas in Birt–Hogg–Dubé images,https://dermnetnz.org/topics/fibrofolliculomas-in-birthoggdube-images/?stage=Live,https://dermnetnz.org/assets/Uploads/birt-hogg-dube-8__FocusFillWzE1MCwxMTAsInkiLDFd.JPG
Erythema infectiosum images,https://dermnetnz.org/topics/erythema-infectiosum-fifth-disease-images/?stage=Live,https://dermnetnz.org/assets/Uploads/fifth05-s__FocusFillWzE1MCwxMTAsInkiLDBd.jpg
Flexural psoriasis images,https://dermnetnz.org/topics/flexural-psoriasis-images/?stage=Live,https://dermnetnz.org/assets/Uploads/psorkai3__FocusFillWzE1MCwxMTAsInkiLDFd.JPG
Folliculitis images,https://dermnetnz.org/topics/folliculitis-images/?stage=Live,https://dermnetnz.org/assets/Uploads/2650__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg
Folliculitis keloidalis images,https://dermnetnz.org/topics/folliculitis-keloidalis-images/?stage=Live,https://dermnetnz.org/assets/Uploads/3720__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Fungal skin infection images,https://dermnetnz.org/image-catalogue/fungal-skin-infection-images/?stage=Live,https://dermnetnz.org/assets/Uploads/tinea-barbae001-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Genital Crohn disease images,https://dermnetnz.org/topics/genital-crohn-disease-images/?stage=Live,https://dermnetnz.org/assets/Uploads/genital-crohn-1-s__FocusFillWzE1MCwxMTAsInkiLDM5XQ.jpg
Genital herpes images,https://dermnetnz.org/topics/genital-herpes-images/?stage=Live,https://dermnetnz.org/assets/Uploads/hsbuttock2-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Genital lichen planus images,https://dermnetnz.org/images/genital-lichen-planus-images/?stage=Live,https://dermnetnz.org/assets/Uploads/2381-s3__FocusFillWzE1MCwxMTAsInkiLDEwXQ.jpg
Genital psoriasis images,https://dermnetnz.org/topics/genital-psoriasis-images/?stage=Live,https://dermnetnz.org/assets/Uploads/genital-psoriasis-09-s2__FocusFillWzE1MCwxMTAsInkiLDEyXQ.jpg
Genital wart images,https://dermnetnz.org/images/genital-wart-images/?stage=Live,https://dermnetnz.org/assets/Uploads/gw2-small2__FocusFillWzE1MCwxMTAsInkiLDE1XQ.jpg
Gouty tophus images,https://dermnetnz.org/topics/gouty-tophi-images/?stage=Live,https://dermnetnz.org/assets/Uploads/gout6-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Granular parakeratosis images,https://dermnetnz.org/topics/granular-parakeratosis-images/?stage=Live,https://dermnetnz.org/assets/Uploads/granular-parakeratosis-8__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Granuloma annulare images,https://dermnetnz.org/topics/granuloma-annulare-images/?stage=Live,https://dermnetnz.org/assets/Uploads/ga12-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Guttate psoriasis images,https://dermnetnz.org/topics/guttate-psoriasis-images/?stage=Live,https://dermnetnz.org/assets/Uploads/2756__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
"Hair, scalp, nail and sweat images",https://dermnetnz.org/image-catalogue/hair-scalp-nail-and-sweat-images/?stage=Live,https://dermnetnz.org/assets/Uploads/woolly-hair-naevus2-s2__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Halo mole images,https://dermnetnz.org/topics/halo-mole-images/?stage=Live,https://dermnetnz.org/assets/Uploads/bml-h2-thunmbnail__FocusFillWzE1MCwxMTAsInkiLDFd.jpg
Hand dermatitis images,https://dermnetnz.org/topics/hand-dermatitis-images/?stage=Live,https://dermnetnz.org/assets/Uploads/2808__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg
